,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Win,Winby,Minutes,Age_y
0,1.0,12,20,.600,0,2,.000,1,3,.333,2,4,6,9,4,0,2,3,25,24.7,-9,0,-14,42.833333333333336,18.83013698630137
1,2.0,8,17,.471,1,5,.200,4,7,.571,2,10,12,8,1,0,7,1,21,14.7,-3,0,-9,40.35,18.832876712328765
2,3.0,3,12,.250,0,1,.000,2,2,1.000,0,4,4,6,2,0,2,3,8,5.0,-21,0,-19,39.166666666666664,18.838356164383562
3,4.0,3,11,.273,0,2,.000,1,1,1.000,2,9,11,7,2,3,2,1,7,11.2,-3,0,-4,41.1,18.84931506849315
4,5.0,8,18,.444,1,2,.500,6,7,.857,0,5,5,3,0,0,7,2,23,9.0,-7,0,-1,43.733333333333334,18.854794520547944
5,6.0,8,19,.421,0,0,,1,4,.250,5,3,8,9,1,1,2,1,17,15.7,+14,1,13,44.5,18.85753424657534
6,7.0,7,12,.583,3,3,1.000,0,0,,1,4,5,4,1,1,2,0,17,15.8,+20,1,14,33.65,18.863013698630137
7,8.0,6,15,.400,2,5,.400,4,6,.667,1,2,3,7,2,1,4,3,18,12.8,-4,0,-5,42.666666666666664,18.86849315068493
8,9.0,3,12,.250,2,4,.500,2,4,.500,1,4,5,3,0,0,4,3,10,0.8,-1,0,-9,35.6,18.873972602739727
9,10.0,10,19,.526,0,1,.000,2,4,.500,0,5,5,8,1,2,5,2,22,15.6,+8,1,3,46.95,18.876712328767123
10,11.0,6,16,.375,0,2,.000,2,4,.500,2,5,7,8,0,1,3,2,14,9.8,+1,1,8,39.416666666666664,18.884931506849316
11,12.0,10,18,.556,2,4,.500,6,8,.750,2,5,7,8,2,1,4,2,28,25.0,-5,0,-11,39.15,18.887671232876713
12,13.0,8,19,.421,0,2,.000,3,3,1.000,2,7,9,2,1,0,1,4,19,12.2,-5,0,-14,35.3,18.893150684931506
13,14.0,3,16,.188,0,1,.000,9,10,.900,2,4,6,4,2,1,3,1,15,9.3,-6,0,-9,42.3,18.895890410958906
14,15.0,5,17,.294,1,4,.250,4,4,1.000,2,6,8,9,0,0,4,1,15,10.2,-13,0,-10,38.8,18.90684931506849
